Model,Accuracy,Precision,Recall,F1-Score,AUC,Waktu (detik)
Decision Tree,0.9957607872823618,0.9954382084600497,0.9948880906327715,0.9951630735212825,0.9961278653131915,0.6553323268890381
Random Forest,0.9960938682816048,0.9955101194998964,0.9955788891959104,0.9955445031602943,0.9997155059947342,16.58496642112732
SVM,0.9909159727479182,0.9929068150208623,0.986322188449848,0.9896035486553922,0.9993046002097072,46.10286617279053
